Name,racer_id,all_time_avg_percentile,median_percentile_2023,median_percentile_2024,median_percentile_2025,rank,avg_position_last5,median_position_last5
Jay MacDonald,jaymacdonald,0.2028483751224067,,,0.19600840336134454,0.19600840336134454,15.0,13.5
Parker Brown,parkerbrown,0.2448724408462572,,,0.2229965156794425,0.2229965156794425,17.75,17.0
Tyler Pridham,tylerpridham,0.25856288857006215,,,0.23529411764705882,0.23529411764705882,16.8,16.0
Kenneth Stoneham,kennethstoneham,0.24161629269904297,0.1935483870967742,0.22187922052865133,0.2857142857142857,0.2353635733979662,18.4,17.0
Sean Cotnam,seancotnam,0.2049557012543401,,0.24977283053157656,0.2361111111111111,0.244649685748902,16.4,17.0
David Garber,davidgarber,0.27018084446330765,0.29310344827586204,0.18128123580190822,0.31977351916376306,0.24519336330525543,19.8,20.0
Peter Moorhead,petermoorhead,0.21758677230890322,0.2318840579710145,0.23943661971830985,0.2728758169934641,0.24795786655139704,18.0,18.0
Robert Smejkal,robertsmejkal,0.24907841533481903,0.23165030388031793,0.2354001441961067,0.31765873015873014,0.25932775192173596,18.0,19.0
Jamie Haggart,jamiehaggart,0.3017710030389282,,0.2191780821917808,0.33350271002710025,0.26204981763002555,21.4,23.0
Brad Brock,bradbrock,0.26165943738714437,0.27419354838709675,0.22934158197083515,0.3475609756097561,0.2737777933457638,22.8,20.0
Mark Laurie,marklaurie,0.30939801009711576,0.30357142857142855,0.2706943414875216,0.30637254901960786,0.28797322116392887,21.0,20.0
Jeff Parr,jeffparr,0.12213772712516902,0.3998363721365124,,0.22308362369337978,0.29378472307063286,19.2,15.0
Brook Hamilton,brookhamilton,0.34609895629644977,0.30434782608695654,0.2889969067609368,0.29911924119241196,0.29510379095558326,20.4,22.0
Shane Hambly,shanehambly,0.25709934864134226,0.21951970443349755,0.31950607756125793,0.343205574912892,0.3066186521411961,22.6,25.0
Alexandra Kansun,alexandrakansun,0.32264269410023155,,,0.30860433604336046,0.30860433604336046,26.4,26.0
Robert Hawtin,roberthawtin,0.23629265684285616,0.3103448275862069,0.3064516129032258,0.34834494773519165,0.3197982562894118,24.2,25.0
Tori Johnston,torijohnston,0.3301356721550409,,,0.3262605042016807,0.3262605042016807,24.25,22.5
Don French,donfrench,0.35086905928689294,0.38375973303670746,0.3180133432171979,0.39831932773109247,0.3552544165352681,28.2,27.0
Joanna Perreault,joannaperreault,0.3313333175006818,0.39631336405529954,0.3548387096774194,0.4024390243902439,0.3774137349668428,26.6,25.0
Kevin Beattie,kevinbeattie,0.31787574675984914,0.39126807563959953,0.3835616438356164,0.45588235294117646,0.406799142928081,31.0,31.0
Craig Pitman,craigpitman,0.4750253011600657,0.46575502571294997,0.352112676056338,0.526930894308943,0.42728661146344193,35.0,37.0
Alana Cox,alanacox,0.38416359562867924,0.36231884057971014,,0.48278335724533716,0.43459755057908633,33.2,30.0
Josh Erlick,josherlick,0.44052050610118143,,0.4209450249886415,0.4583333333333333,0.4349656406179009,29.8,33.0
Mackenzie Balan,mackenziebalan,0.4990006489283222,,,0.43902439024390244,0.4390243902439025,31.2,30.0
Rob Reid,robreid,0.3772875626964227,,0.469718817591925,0.47619047619047616,0.4721456895663817,32.6,34.0
Corbin Seligman,corbinseligman,0.5156794425087108,,,0.5,0.5,33.0,36.0
Laura Libby,lauralibby,0.5351133278131032,0.5161290322580645,0.47432985006815087,0.5609756097560976,0.5086834144125176,37.2,38.0
John Glover,johnglover,0.3672547807474154,,0.5068493150684932,0.5142857142857142,0.509637964774951,37.4,37.0
Justin Trevan,justintrevan,0.5185043610940311,,,0.5238095238095238,0.5238095238095238,34.6,34.0
Todd Robertson,toddrobertson,0.5611114697266711,0.5178571428571429,0.544962439239947,0.5,0.5260526481914021,33.2,35.0
David Eva,davideva,0.641233605887304,0.5650723025583982,0.5087719298245614,0.625,0.5549004254239603,41.0,45.0
Adam Grossman,adamgrossman,0.5289532714912312,0.43103448275862066,,0.6428571428571429,0.5581280788177341,24.8,25.0
Gil Nayot,gilnayot,0.5899194424973808,,0.5782060785767236,0.5694444444444444,0.5749204657771187,37.0,35.0
Chris Reid ,chrisreid,0.5507326619254451,,0.6438356164383562,0.5041811846689895,0.5914652045248436,41.0,39.0
David Rosenblatt,davidrosenblatt,0.5906604174485559,,0.6083874068733477,0.5941535150645624,0.6030496974450531,41.6,41.0
Earl Duffy,earlduffy,0.540920049305958,,0.5915492957746479,0.6466898954703832,0.6122270206605486,46.4,47.0
Mitch Perreault,mitchperreault,0.5285030292075481,0.7026486756621689,0.6163181927421293,0.5661764705882353,0.618541772679969,39.0,38.0
Bengie Maxwell,bengiemaxwell,0.6438008130081301,,,0.6209349593495935,0.6209349593495935,42.0,41.0
Rebecca Henry,rebeccahenry,0.4202138331376968,0.5344827586206896,,0.6805555555555556,0.6221264367816092,43.6,46.0
Audun Breder,audunbreder,0.7188680399881391,,,0.6445993031358885,0.6445993031358885,55.6,53.0
Stephen Lewis,stephenlewis,0.6293309273714476,0.5806451612903226,0.6619718309859155,0.6829268292682927,0.6519929965315101,47.2,47.0
Sheri Ramshaw,sheriramshaw,0.6780853910674429,0.6071428571428571,0.6627918194096083,0.7041666666666666,0.6640744811333755,48.0,49.0
Joseph Lo,josephlo,0.6589567413196035,,,0.6707317073170732,0.6707317073170732,44.5,46.5
Lisa Bugler,lisabugler,0.6087935262201397,0.6174412793603199,0.6982696467195386,0.7428571428571429,0.6954802220889762,49.6,48.0
Dara Moncarz,daramoncarz,0.72209910386919,,,0.7278116531165312,0.7278116531165312,52.75,54.0
Jocelyn French,jocelynfrench,0.7557559506617934,,0.7645169261181122,0.7222222222222222,0.7486564121571534,50.6,49.0
Eric Rosen,ericrosen,0.7944360479669176,,0.7397260273972602,0.8170731707317073,0.7687312061476778,56.6,55.0
Tony Petrella,tonypetrella,0.5743603117998924,0.7068965517241379,0.8056957462148522,0.7573529411764706,0.7714330658051949,53.2,52.0
Rachel Megitt,rachelmegitt,0.7412987349816558,0.7174638487208009,0.8548387096774194,0.6992467718794835,0.7806861561467149,50.0,48.0
Mark Swalwell,markswalwell,0.7997985698344379,,,0.8014705882352942,0.8014705882352942,53.2,54.0
Michael Godfrey,michaelgodfrey,0.7870643175969575,,,0.8035130718954249,0.8035130718954249,51.5,56.0
Ron Herczeg,ronherczeg,0.8723609919205246,0.8103448275862069,,0.8048780487804879,0.8070647603027754,54.6,53.0
Richard Sawicki,richardsawicki,0.8557783072578624,,,0.8446915351506457,0.8446915351506457,62.5,61.5
Sarah Robertson,sarahrobertson,0.8337055635262235,,,0.8472222222222222,0.8472222222222222,56.0,59.0
Catherine Capek,catherinecapek,0.7168000702386499,0.7822169996083039,,0.8929738562091503,0.8486711135688118,61.6,61.0
Kevin Brown,kevinbrown,0.8477060256692057,0.8340829585207397,0.8653084323712508,0.8472022955523673,0.8536314965554835,59.6,60.0
Raymond Hu,raymondhu,0.870591366627952,,,0.8591269841269842,0.8591269841269843,57.75,63.5
Mark Sandell,marksandell,0.8606971931110249,,0.8904109589041096,0.8382352941176471,0.8708450846091861,57.6,57.0
Dave Graff,davegraff,0.8986788617886179,,,0.8973577235772358,0.8973577235772356,59.0,61.0
Devesh Varma,deveshvarma,0.8940312222449955,,,0.9,0.9000000000000001,59.8,63.0
Bernard Oegema,bernardoegema,0.8808671156787306,,0.9345751930940482,0.8925653594771241,0.9188215054877016,63.4,60.0
JD Etter,jdetter,0.9383347851335656,,,0.9434523809523809,0.9434523809523809,62.0,67.0
Antonio Liberatore,antonioliberatore,0.9423514609095671,,,0.9558823529411765,0.9558823529411764,63.2,67.0
Alex Henry,alexhenry,0.9025966999071755,0.9565217391304348,0.9577464788732394,0.9869579945799458,0.9662649856366904,66.4,70.0
Jennifer Hsiung,jenniferhsiung,0.9459267560261546,,0.9838709677419355,0.938845050215208,0.9669862486694126,59.2,58.0
David Moull,davidmoull,0.9606588326387465,,,0.9722222222222222,0.9722222222222221,64.4,69.0
Shanna Reid,shannareid,0.9530709574581393,,1.0,0.9444444444444444,0.9791666666666666,68.0,68.0
Talia Laurie,talialaurie,0.9808424232976761,0.9710144927536232,,1.0,0.9884057971014493,67.4,68.0
Ryan Wood,ryanwood,,,,,,,
